# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  380,20160605,  189,  264,  146
  380,20160606,  199,  261,  132
  380,20160607,  193,  266,  135
  380,20160608,  182,  237,  120
  380,20160609,  160,  213,  100
  380,20160610,  164,  217,   70
  380,20160611,  172,  225,  134
  380,20160612,  162,  221,  142
  380,20160613,  152,  198,  135
  380,20160614,  153,  207,  118
  380,20160615,  137,  186,   95
  380,20160616,  137,  190,   78
  380,20160617,  145,  189,  120
  380,20160618,  137,  179,  119
  380,20160619,  144,  193,  101
  380,20160620,  156,  198,  110
  380,20160621,  176,  212,  141
  380,20160622,  209,  253,  148
  380,20160623,  251,  322,  159
  380,20160624,  204,  242,  160
  380,20160625,  152,  176,  104
  380,20160626,  146,  191,   99
  380,20160627,  149,  194,  114
  380,20160628,  174,  215,  126
  380,20160629,  168,  208,  130
  380,20160630,  172,  203,  144
  380,20160701,  181,  215,  147
  380,20160702,  145,  178,  110
  380,20160703,  153,  194,  110
  380,20160704,  175,  225,  106
  380,20160705,  164,  210,   87
  380,20160706,  157,  209,   85
  380,20160707,  177,  227,   78
  380,20160708,  202,  244,  151
  380,20160709,  203,  250,  163
  380,20160710,  236,  298,  172
  380,20160711,  195,  236,  156
  380,20160712,  161,  215,  109
  380,20160713,  133,  189,   91
  380,20160714,  142,  191,   77
  380,20160715,  158,  212,   77
  380,20160716,  186,  240,  143
  380,20160717,  205,  250,  139
  380,20160718,  222,  289,  117
  380,20160719,  246,  308,  130
  380,20160720,  266,  339,  161
  380,20160721,  234,  279,  182
  380,20160722,  218,  266,  167
  380,20160723,  208,  258,  174
  380,20160724,  212,  265,  156
  380,20160725,  205,  252,  148
  380,20160726,  192,  231,  142
  380,20160727,  185,  229,  125
  380,20160728,  193,  238,  154
  380,20160729,  189,  239,  151
  380,20160730,  183,  235,  135
  380,20160731,  166,  211,   97
  380,20160801,  169,  228,   89
  380,20160802,  160,  179,  135
  380,20160803,  181,  194,  168
  380,20160804,  170,  202,  133
  380,20160805,  164,  218,  112
  380,20160806,  170,  224,   90
  380,20160807,  199,  249,   90
  380,20160808,  171,  216,  114
  380,20160809,  139,  195,   77
  380,20160810,  123,  164,   63
  380,20160811,  127,  170,   60
  380,20160812,  180,  227,  141
  380,20160813,  186,  238,  130
  380,20160814,  182,  231,  119
  380,20160815,  176,  227,  128
  380,20160816,  174,  239,  100
  380,20160817,  187,  256,  111
  380,20160818,  184,  250,   87
  380,20160819,  191,  247,   98
  380,20160820,  185,  235,  131
  380,20160821,  158,  196,  133
  380,20160822,  179,  237,  120
  380,20160823,  222,  287,  135
  380,20160824,  246,  321,  124
  380,20160825,  256,  333,  145
  380,20160826,  248,  310,  182
  380,20160827,  244,  323,  171
  380,20160828,  217,  271,  140
  380,20160829,  177,  209,  126
  380,20160830,  173,  238,   76
  380,20160831,  189,  257,   82
